Algorithm,Case,Input Size,Execution Time
Selection Sort,Nearly Sorted,100,0.00011862499999892862
Shell Sort,Nearly Sorted,100,4.237499999248939e-05
Merge Sort,Nearly Sorted,100,8.629100000234757e-05
Quick Sort,Nearly Sorted,100,5.791699999235789e-05
Heap Sort,Nearly Sorted,100,0.00010637500000143518
Radix Sort,Nearly Sorted,100,4.208300001096177e-05
TimSort,Nearly Sorted,100,4.667000013114375e-06
Bubble Sort,Nearly Sorted,250,0.0008803329999977905
Insertion Sort,Nearly Sorted,250,6.633399999600442e-05
Selection Sort,Nearly Sorted,250,0.0006328749999795491
Shell Sort,Nearly Sorted,250,0.00010329200000569472
Merge Sort,Nearly Sorted,250,0.0001990829999840571
Quick Sort,Nearly Sorted,250,0.0001406669999823862
Heap Sort,Nearly Sorted,250,0.00030129199998896183
Radix Sort,Nearly Sorted,250,0.00011583299999529117
TimSort,Nearly Sorted,250,1.245799998628172e-05
Bubble Sort,Nearly Sorted,500,0.0038439589999939017
Insertion Sort,Nearly Sorted,500,0.0003715829999748621
Selection Sort,Nearly Sorted,500,0.002973542000006546
Shell Sort,Nearly Sorted,500,0.0002867499999865686
Merge Sort,Nearly Sorted,500,0.0004852090000042608
Quick Sort,Nearly Sorted,500,0.00033245800000258896
Heap Sort,Nearly Sorted,500,0.0006321669999920232
Radix Sort,Nearly Sorted,500,0.00024066600002470295
TimSort,Nearly Sorted,500,1.683400000729307e-05
Bubble Sort,Nearly Sorted,1000,0.017070582999991757
Insertion Sort,Nearly Sorted,1000,0.0018135830000005626
Selection Sort,Nearly Sorted,1000,0.012468708000000106
Shell Sort,Nearly Sorted,1000,0.0006292500000029122
Merge Sort,Nearly Sorted,1000,0.0009952910000095017
Quick Sort,Nearly Sorted,1000,0.0006331669999894984
Heap Sort,Nearly Sorted,1000,0.001541540999994595
Radix Sort,Nearly Sorted,1000,0.00047654100001182087
TimSort,Nearly Sorted,1000,3.4084000020584426e-05
Bubble Sort,Nearly Sorted,2500,0.10896945899997945
Insertion Sort,Nearly Sorted,2500,0.010246082999998407
Selection Sort,Nearly Sorted,2500,0.07416458400001602
Shell Sort,Nearly Sorted,2500,0.0022761669999908918
Merge Sort,Nearly Sorted,2500,0.00279987499999379
Quick Sort,Nearly Sorted,2500,0.0017516249999971478
Heap Sort,Nearly Sorted,2500,0.004437875000007807
Radix Sort,Nearly Sorted,2500,0.001588417000021991
TimSort,Nearly Sorted,2500,7.5541000001067e-05
Bubble Sort,Nearly Sorted,5000,0.44336016699998027
Insertion Sort,Nearly Sorted,5000,0.039871500000003834
Selection Sort,Nearly Sorted,5000,0.30057708399999683
Shell Sort,Nearly Sorted,5000,0.005456041999991612
Merge Sort,Nearly Sorted,5000,0.0063348340000004555
Quick Sort,Nearly Sorted,5000,0.003346166999989464
Heap Sort,Nearly Sorted,5000,0.009728166999991572
Radix Sort,Nearly Sorted,5000,0.0034237920000066424
TimSort,Nearly Sorted,5000,0.0001104999999768097
Bubble Sort,Nearly Sorted,7500,1.0090163749999874
Insertion Sort,Nearly Sorted,7500,0.08845429199999444
Selection Sort,Nearly Sorted,7500,0.6756117500000016
Shell Sort,Nearly Sorted,7500,0.008530833000008897
Merge Sort,Nearly Sorted,7500,0.00947579199998927
Quick Sort,Nearly Sorted,7500,0.005309665999988056
Heap Sort,Nearly Sorted,7500,0.015632541999991645
Radix Sort,Nearly Sorted,7500,0.004926750000009861
TimSort,Nearly Sorted,7500,0.00021750000001929948
Bubble Sort,Nearly Sorted,10000,1.806124374999996
Insertion Sort,Nearly Sorted,10000,0.17040037499998562
Selection Sort,Nearly Sorted,10000,1.1987368750000087
Shell Sort,Nearly Sorted,10000,0.012956166999998686
Merge Sort,Nearly Sorted,10000,0.013877207999996699
Quick Sort,Nearly Sorted,10000,0.006983750000017608
Heap Sort,Nearly Sorted,10000,0.022022249999992027
